doy,d2_pinball
0,0.17653578519821167
1,0.31954699754714966
2,-0.03107011318206787
4,0.08191591501235962
5,0.020134449005126953
6,0.29533231258392334
7,0.2371119260787964
8,-1.672619104385376
9,0.2524845004081726
10,0.07657283544540405
11,0.23429787158966064
12,0.3023962378501892
13,-0.330413818359375
14,0.22626173496246338
15,-0.44604289531707764
16,0.30675119161605835
17,0.19657325744628906
18,-1.6865425109863281
19,0.3567555546760559
20,-0.08908700942993164
21,0.30270856618881226
22,0.11918485164642334
23,-0.03215789794921875
24,0.22525393962860107
25,0.2802024483680725
26,0.23509985208511353
27,0.2533194422721863
28,0.2645791172981262
29,-0.2990471124649048
30,0.2225884199142456
31,0.1322144865989685
32,0.2977762222290039
33,0.2151896357536316
34,-0.02139413356781006
35,0.33018290996551514
36,0.004280984401702881
37,0.2915995717048645
38,0.29725486040115356
39,0.06750673055648804
40,0.3354758620262146
41,0.21531176567077637
42,-0.12469923496246338
43,0.2566148638725281
44,0.3566092848777771
45,0.2582712173461914
46,0.3561398386955261
47,0.3076878786087036
48,0.15549415349960327
49,0.09738415479660034
50,0.33788323402404785
51,0.3842070698738098
52,0.3612852692604065
53,0.21755170822143555
54,0.3364286422729492
55,0.3582985997200012
56,0.36143219470977783
57,0.33560287952423096
58,0.3370649814605713
60,0.4034197926521301
61,0.26062995195388794
62,0.30551135540008545
63,0.27564090490341187
64,0.33682185411453247
65,0.31176817417144775
66,0.3989959955215454
67,0.272696852684021
68,0.2924199104309082
69,0.2939910888671875
70,0.13413351774215698
71,0.32165563106536865
72,0.30971479415893555
73,0.3205597996711731
74,0.36663466691970825
75,-1.652275562286377
76,0.4042362570762634
77,0.31168800592422485
78,0.366543173789978
79,0.40709203481674194
80,0.33727675676345825
81,0.3521686792373657
82,0.3401346802711487
83,0.21676576137542725
84,0.36322903633117676
85,0.34659457206726074
86,0.32320523262023926
87,0.3658444285392761
88,0.4068712592124939
89,0.38839781284332275
90,0.4136838912963867
91,0.2960323095321655
92,0.31916552782058716
93,0.3518478274345398
94,0.30252158641815186
95,0.3092997074127197
96,0.350368857383728
97,0.22479909658432007
98,0.2635716199874878
99,0.4052853584289551
100,0.3367342948913574
101,0.34179848432540894
102,0.3934873938560486
103,0.2703148126602173
104,0.3383054733276367
105,0.2643759846687317
106,0.408170223236084
107,0.2366626262664795
108,0.30830448865890503
109,0.3249489665031433
110,0.2587236762046814
111,0.3823157548904419
112,0.3346942663192749
113,0.2325078248977661
114,0.29799336194992065
115,0.28877103328704834
116,0.40414130687713623
117,0.33153092861175537
118,0.19178444147109985
119,0.31590890884399414
120,0.28375405073165894
121,-0.10388994216918945
122,0.4472770094871521
123,0.1108940839767456
124,0.4268916845321655
125,-0.16038596630096436
126,0.37880098819732666
127,0.4867435097694397
128,0.036334097385406494
129,0.38123810291290283
130,0.41888540983200073
131,0.3795434832572937
132,0.3035953640937805
133,0.41168445348739624
134,0.421395480632782
135,0.19409245252609253
136,0.391493558883667
137,0.37209534645080566
138,0.27982282638549805
139,0.442649245262146
140,0.37405192852020264
141,0.21474653482437134
142,0.06916576623916626
143,0.1052175760269165
144,0.3772859573364258
145,0.4157719016075134
146,0.1526082158088684
147,0.37606650590896606
148,0.3652382493019104
149,0.27176445722579956
150,0.3778824806213379
151,0.3618648052215576
152,0.3548978567123413
153,0.3775886297225952
154,0.22430062294006348
155,0.3563668131828308
156,0.2837732434272766
157,0.4096270203590393
158,0.19546008110046387
159,0.2844254970550537
160,0.2859356999397278
161,0.2299216389656067
162,0.21129202842712402
163,0.321289598941803
164,0.2940882444381714
165,0.30045121908187866
166,0.2554163336753845
167,0.19241517782211304
168,0.1110079288482666
169,0.17795336246490479
170,0.33763599395751953
171,0.16172099113464355
172,0.06090807914733887
173,0.2688372731208801
174,0.2745979428291321
175,0.18784987926483154
176,0.2925737500190735
177,0.2341299057006836
178,0.2510133385658264
179,0.12229961156845093
180,0.1755627989768982
181,0.3070131540298462
182,0.2404778003692627
183,0.2420225739479065
184,0.26391851902008057
185,0.27953416109085083
186,0.16465389728546143
187,0.32311588525772095
188,0.1919577717781067
189,0.20406568050384521
190,0.25873857736587524
191,0.24627685546875
192,0.1957402229309082
193,0.16063356399536133
194,0.09355747699737549
195,0.23897069692611694
196,0.3207979202270508
197,0.20063138008117676
198,0.25132226943969727
199,0.1362457275390625
200,0.1968432068824768
201,0.1364484429359436
202,0.20606184005737305
203,0.171553373336792
204,0.19620364904403687
205,0.21915876865386963
206,0.2353668212890625
207,0.20810455083847046
208,0.14578115940093994
209,0.2369341254234314
210,0.19561415910720825
211,0.23533040285110474
212,0.13666272163391113
213,0.18213427066802979
214,0.16752409934997559
215,0.2662794589996338
216,0.09355020523071289
217,0.12986057996749878
218,0.1933799386024475
219,0.21195030212402344
220,0.22683042287826538
221,0.12677180767059326
222,0.23828542232513428
223,0.24117887020111084
224,0.229051411151886
225,0.1656997799873352
226,0.25297850370407104
227,0.1429552435874939
228,0.0007081031799316406
229,0.20818942785263062
230,0.17572391033172607
231,0.13077229261398315
232,0.21896475553512573
233,0.20011472702026367
234,0.11129599809646606
235,0.07094800472259521
236,0.18152886629104614
237,0.2843703031539917
238,0.21953165531158447
239,0.16825562715530396
240,0.12000274658203125
241,0.29068106412887573
242,0.08649283647537231
243,0.18690282106399536
245,0.13473135232925415
246,0.15879660844802856
247,0.2738546133041382
248,0.20828860998153687
249,0.08380532264709473
250,0.1818622350692749
251,0.19076502323150635
252,0.04435926675796509
253,0.0839049220085144
254,0.09670251607894897
255,0.1197744607925415
256,-0.01015019416809082
